Date,LoanInterest
200410,5.63
200411,5.98
200412,6.24
200501,6.13
200502,5.64
200503,6.37
200504,6.28
200505,6.18
200506,6.16
200507,6.2
200508,6.31
200509,6.51
200510,6.66
200511,6.65
200512,6.73
200601,6.74
200602,6.68
200603,6.93
200604,6.98
200605,6.97
200606,7
200607,7.13
200608,6.81
200609,6.98
200610,6.89
200611,6.83
200612,6.75
200701,7.18
200702,7.11
200703,7.42
200704,7.34
200705,7.5
200706,7.41
200707,7.33
200708,7.28
200709,7.64
200710,7.68
200711,7.73
200712,7.85
200801,8.17
200802,7.75
200803,7.8
200804,8.18
200805,8.13
200806,8.27
200807,8.51
200808,8.76
200809,8.97
200810,9.2
200811,9.18
200812,8.35
200901,7.01
200902,6.79
200903,6.83
200904,6.68
200905,6.66
200906,6.88
200907,7.17
200908,7.09
200909,7.48
200910,7.62
200911,7.66
200912,7.25
201001,7.64
201002,7.41
201003,7.42
201004,7.01
201005,6.27
201006,7.06
201007,7.22
201008,7.22
201009,7.22
201010,7.36
201011,7.35
201012,7.1
201101,7.44
201102,7.33
201103,7.76
201104,7.7
201105,7.7
201106,7.53
201107,7.79
201108,7.96
201109,8.27
201110,8.22
201111,8.27
201112,7.9
201201,8.16
201202,8.05
201203,8.14
201204,8.15
201205,7.95
201206,7.89
201207,6.71
201208,6.28
201209,6.94
201210,7.02
201211,7.03
201212,6.87
201301,7.02
201302,6.75
201303,6.62
201304,6.55
201305,6.41
201306,6.19
201307,6.25
201308,6.13
201309,5.87
201310,5.87
201311,5.9
201312,5.8
201401,5.85
201402,5.63
201403,5.77
201404,5.66
201405,5.7
201406,5.62
201407,5.59
201408,5.38
201409,5.29
201410,5.08
201411,4.92
201412,4.89
201501,4.99
201502,4.88
201503,4.75
201504,4.46
201505,4.53
201506,4.46
201507,4.41
201508,4.34
201509,4.4
201510,4.41
201511,4.44
201512,4.47
201601,4.56
201602,4.47
201603,4.6
201604,4.48
201605,4.48
201606,4.29
201607,4.24
201608,4.24
201609,4.31
201610,4.28
201611,4.35
201612,4.44
201701,4.51
201702,4.46
201703,4.61
201704,4.52
201705,4.45
201706,4.41
201707,4.44
201708,3.78
201709,4.01
201710,4.15
201711,4.3
201712,4.38
201801,4.39
201802,4.34
201803,4.48
201804,4.49
201805,4.56
201806,4.57
201807,4.56
201808,4.47
201809,4.39
201810,4.45
201811,4.56
201812,4.64
201901,4.57
201902,4.49
201903,4.63
201904,4.54
201905,4.4
201906,4.23
201907,3.96
201908,3.63
201909,3.86
201910,3.9
201911,3.9
201912,3.87
202001,3.83
202002,3.7
202003,3.49
202004,3.5
202005,3.33
202006,2.93
202007,2.92
202008,2.86
202009,2.89
202010,3.15
202011,3.01
202012,3.5
202101,3.46
202102,3.61
202103,3.7
202104,3.65
202105,3.69
202106,3.75
202107,3.86
202108,3.97
202109,4.15
202110,4.62
202111,5.16
202112,5.12
202201,5.28
202202,5.33
202203,5.46
202204,5.62
202205,5.78
202206,6
202207,5.91
202208,6.24
202209,6.62
202210,7.22
202211,7.85
202212,7.97
202301,7.21
202302,6.55
202303,6.44
202304,6.3
202305,6.56
202306,6.47
202307,6.52
202308,6.53
202309,6.59
202310,6.81
202311,6.85
