index,donation,gender,age,edu,spouse,housing,nfamily,inc
1,360000,1,61,4,2,31,63,678
2,10000,1,14,2,1,31,63,678
3,300000,2,57,7,2,32,64,678
4,180000,2,24,5,1,32,64,678
5,80000,2,40,7,2,31,62,678
6,60000,1,41,7,2,31,62,678
7,100000,2,39,5,2,32,64,678
8,480000,1,45,3,2,31,64,660
9,480000,2,44,5,2,31,64,660
10,120000,1,47,5,2,31,64,678
11,440000,2,46,5,2,31,64,678
12,1000000,2,45,5,1,33,61,660
13,50000,1,35,4,2,31,63,678
14,50000,2,28,3,2,31,63,678
15,240000,1,54,4,2,33,61,660
16,120000,2,36,4,2,32,63,640
17,10000,1,32,5,2,31,63,678
18,240000,1,37,5,2,31,63,660
19,60000,1,50,4,2,31,63,678
20,240000,2,38,4,2,31,62,678
21,300000,2,68,2,2,31,62,650
22,480000,1,70,3,2,31,62,620
23,240000,1,50,5,2,32,62,640
24,240000,2,49,5,2,32,62,640
25,360000,1,43,6,2,31,64,678
26,360000,2,39,5,2,31,64,678
27,126000,2,56,5,3,33,63,620
28,720000,1,57,5,2,31,62,620
29,240000,1,46,4,2,33,61,660
30,10000,2,71,1,3,32,61,610
31,10000,2,16,3,1,31,64,640
32,500000,2,61,6,5,32,62,640
33,360000,1,63,3,2,31,64,620
34,360000,2,61,3,2,31,64,620
35,100000,2,29,5,1,31,64,650
36,200000,1,57,4,2,31,61,650
37,240000,1,50,4,2,31,63,678
38,400000,2,52,3,2,31,63,678
39,15000,1,64,2,2,31,63,650
40,15000,2,59,2,2,31,63,650
41,120000,1,51,5,2,31,64,630
42,360000,2,66,2,2,31,62,678
43,120000,2,68,2,5,35,61,610
44,480000,2,61,1,2,35,63,678
45,300000,2,56,6,2,31,62,650
46,360000,1,49,5,2,32,64,660
47,360000,2,46,3,2,32,64,660
48,120000,2,40,4,2,31,64,640
49,500000,1,51,7,2,31,63,678
50,50000,2,50,5,2,31,63,678
51,120000,1,13,2,1,31,63,678
52,360000,1,51,7,2,32,64,678
53,180000,2,52,4,2,32,64,678
54,600000,1,42,4,2,31,64,678
55,3600000,2,39,6,2,31,64,678
56,240000,2,50,4,2,32,62,678
57,240000,1,41,4,2,32,64,660
58,1200000,1,49,5,2,33,64,640
59,360000,2,39,3,5,32,64,630
60,60000,2,28,5,1,31,64,678
61,50000,1,17,3,1,33,63,640
62,100000,1,44,5,2,32,64,640
63,600000,2,43,5,2,31,63,678
64,360000,1,44,5,2,31,64,678
65,360000,2,43,5,2,31,64,678
66,60000,2,34,3,2,31,63,630
67,20000,1,33,5,2,31,62,678
68,400000,2,36,5,2,31,62,678
69,150000,1,32,4,2,33,63,678
70,150000,2,31,5,2,33,63,678
71,240000,2,31,5,2,31,63,660
72,300000,1,54,5,2,31,61,650
73,360000,1,40,6,1,32,61,640
74,120000,1,45,3,2,31,64,630
75,10000,2,48,4,2,31,63,640
76,200000,1,57,6,2,31,63,678
77,360000,1,50,3,2,31,63,678
78,120000,2,43,3,2,31,63,678
79,120000,2,60,3,2,31,62,660
80,120000,1,48,4,2,31,64,640
81,240000,2,44,3,2,31,64,640
82,240000,2,50,3,2,31,64,640
83,30000,2,31,4,2,32,64,650
84,120000,2,52,5,2,31,63,630
85,240000,1,60,3,2,31,62,640
86,10000,2,70,2,5,35,61,610
87,10000,1,46,3,2,31,64,678
88,10000,1,40,3,2,31,64,678
89,360000,1,35,4,2,31,64,640
90,360000,2,34,4,2,31,64,640
91,10000,1,24,4,1,35,61,630
92,200000,2,54,3,2,32,63,640
93,360000,2,54,5,2,32,64,678
94,360000,2,21,5,1,32,64,678
95,100000,2,51,5,2,31,63,640
96,120000,2,21,5,1,31,64,678
97,360000,2,35,3,1,31,61,678
98,3600000,1,45,4,2,32,63,640
99,20000,2,55,3,4,31,62,620
100,360000,1,34,6,2,31,63,660
101,30000,2,64,3,2,31,64,660
102,300000,2,35,5,1,31,64,660
103,300000,1,62,5,2,31,62,650
104,480000,2,62,3,2,31,62,650
105,10000,2,57,6,2,31,61,640
106,120000,2,60,3,2,31,63,660
107,120000,2,29,5,1,31,63,660
108,120000,1,51,3,2,33,61,640
109,50000,1,41,3,4,33,61,620
110,120000,1,44,5,1,31,62,610
111,30000,2,46,3,4,33,61,640
112,720000,1,89,4,2,31,63,678
113,720000,2,79,3,2,31,63,678
114,20000,1,58,5,2,31,64,678
115,3000,2,24,5,1,31,64,630
116,360000,2,49,5,2,31,62,678
117,1450000,2,57,6,1,34,61,630
118,120000,1,30,5,1,32,61,640
119,50000,1,60,4,2,31,63,650
120,600000,1,64,7,2,32,62,678
121,30000,1,53,3,2,31,64,678
122,140000,2,55,4,2,35,63,678
123,100000,1,52,6,2,35,64,640
124,500000,2,49,5,2,35,64,640
125,360000,2,25,5,1,35,64,640
126,500000,1,51,7,2,35,63,678
127,50000,2,50,5,2,32,62,678
128,780000,2,45,5,2,32,64,678
129,120000,2,17,3,1,32,64,678
130,360000,1,51,6,2,32,62,660
131,240000,1,52,6,2,35,62,678
132,120000,2,49,5,2,32,64,678
133,240000,1,37,4,1,32,61,640
134,480000,2,49,3,4,31,62,610
135,10000,2,16,3,1,32,64,640
136,10000,2,14,2,1,32,64,640
137,80000,1,13,2,1,32,63,640
138,120000,1,62,3,4,32,63,640
139,120000,1,49,3,2,31,64,650
140,1000000,2,55,4,2,31,64,650
141,10000,2,47,3,2,31,64,650
142,50000,1,53,3,2,31,64,620
143,120000,2,51,4,2,32,64,620
144,100000,1,23,5,1,34,61,610
145,60000,1,52,5,4,31,61,678
146,5000,1,23,5,1,31,64,678
147,240000,2,65,2,2,31,61,630
148,290000,1,66,3,2,31,62,640
149,120000,2,69,2,2,31,62,620
150,360000,1,50,3,2,31,64,650
151,360000,2,47,3,2,31,64,650
152,200000,1,21,5,1,31,63,678
153,100000,2,43,5,2,31,64,640
154,60000,1,66,3,2,31,62,640
155,60000,2,58,3,2,31,62,640
156,100000,1,42,5,2,31,64,660
157,120000,2,42,6,2,31,64,660
158,70000,2,25,3,1,31,63,650
159,24000,2,47,3,2,31,63,660
160,200000,2,26,5,1,33,61,630
161,20000,1,27,3,1,33,61,620
162,120000,2,48,3,4,31,62,620
163,50000,1,59,6,2,31,62,678
164,100000,2,37,5,2,31,64,678
165,240000,1,74,3,2,31,62,630
166,600000,1,49,3,2,31,64,678
167,360000,2,47,3,2,31,64,678
168,3000000,1,60,5,2,31,62,660
169,250000,2,71,1,5,31,61,610
170,360000,1,73,3,2,31,62,620
171,120000,2,72,3,2,31,62,620
172,240000,2,60,3,2,31,62,650
173,1200000,1,48,3,2,32,64,640
174,240000,2,57,4,2,31,62,660
175,10000,1,57,2,2,31,62,620
176,10000,2,50,3,2,31,62,620
177,40000,2,56,6,2,31,64,678
178,360000,2,19,4,1,31,64,678
179,50000,1,55,6,2,35,64,678
180,1200000,1,66,6,2,33,61,640
181,360000,1,46,5,2,31,64,678
182,360000,2,45,4,2,31,64,678
183,480000,2,43,5,2,31,63,660
184,360000,1,49,6,2,31,64,650
185,20000,1,53,4,2,31,63,660
186,30000,2,40,3,2,32,64,620
187,480000,2,58,3,2,31,62,650
188,120000,1,48,5,2,32,61,650
189,240000,1,47,5,2,33,62,650
190,360000,2,43,5,2,33,62,650
191,50000,2,35,5,2,31,63,640
192,500000,1,37,6,1,33,61,678
193,1200000,2,54,5,2,31,63,678
194,360000,1,36,5,1,31,62,660
195,500000,2,40,7,2,31,64,678
196,240000,2,40,5,2,31,62,630
197,240000,2,31,5,2,31,62,640
198,500000,1,53,4,2,31,62,678
199,1300000,2,42,5,2,31,64,640
200,1200000,1,53,3,2,31,63,678
201,60000,1,25,5,1,31,63,678
202,120000,1,43,6,1,31,61,640
203,100000,1,31,5,1,33,61,610
204,40000,1,47,3,1,31,62,650
205,360000,2,48,3,2,31,62,630
206,120000,2,59,2,4,33,62,620
207,360000,1,46,6,2,31,64,660
208,600000,2,44,6,2,31,64,660
209,360000,1,83,4,5,31,61,610
210,360000,2,38,3,2,31,64,640
211,360000,1,25,5,1,33,61,610
212,320000,1,50,7,2,31,64,678
213,960000,2,48,4,2,31,64,678
214,100000,2,51,4,2,31,62,640
215,720000,2,45,3,2,31,63,660
216,360000,1,19,4,1,31,63,660
217,50000,2,50,3,2,31,64,678
218,360000,1,64,5,2,31,62,630
219,360000,2,63,3,2,31,62,630
220,120000,1,60,4,2,31,62,678
221,360000,2,58,3,2,31,62,678
222,10000,1,54,3,2,31,63,640
223,10000,2,13,2,1,31,64,650
224,1200000,1,36,5,2,31,63,650
225,360000,1,76,5,2,31,62,660
226,360000,2,67,4,2,31,62,660
227,40000,2,38,3,2,31,62,650
228,120000,1,38,7,2,31,64,678
